"","MEAN_TRANS_RATE","MEAN_AIR_TEMP_1HR_150CM","MEAN_REL_HUM_1HR_150CM","MEAN_AIR_TEMP_3HR_240CM","MEAN_REL_HUM_3HR_240CM","MEAN_AIR_TEMP_1HR_25M","MEAN_VAPOR_PRESS_1HR_25M","MEAN_DOWN_SHRTWAVE_RAD_3HR_4M","MEAN_DOWN_SHRTWAVE_RAD_1HR_18M","MEAN_WIND_VELOCITY_1HR_18M","SAP_FLOW"
"MEAN_TRANS_RATE",1,0.683449509207514,-0.498419334995033,0.677244619834936,-0.580889667547244,NA,NA,NA,0.854187170792443,0.232323748303951,0.779642748452656
"MEAN_AIR_TEMP_1HR_150CM",0.683449509207514,1,-0.526888172575583,NA,NA,0.936539583523978,0.683880524244677,NA,NA,NA,0.62879792314453
"MEAN_REL_HUM_1HR_150CM",-0.498419334995033,-0.526888172575583,1,NA,NA,-0.472124723558646,0.143586365857558,NA,NA,NA,-0.548631127637513
"MEAN_AIR_TEMP_3HR_240CM",0.677244619834936,NA,NA,1,-0.676205484393772,NA,NA,0.584308360002685,0.654220132705055,0.204859278262474,0.69480069684201
"MEAN_REL_HUM_3HR_240CM",-0.580889667547244,NA,NA,-0.676205484393772,1,NA,NA,-0.614250188926777,-0.650667236018614,-0.273474515454543,-0.605955707017741
"MEAN_AIR_TEMP_1HR_25M",NA,0.936539583523978,-0.472124723558646,NA,NA,1,0.739200195324988,NA,NA,NA,0.562648285290428
"MEAN_VAPOR_PRESS_1HR_25M",NA,0.683880524244677,0.143586365857558,NA,NA,0.739200195324988,1,NA,NA,NA,0.220351820022639
"MEAN_DOWN_SHRTWAVE_RAD_3HR_4M",NA,NA,NA,0.584308360002685,-0.614250188926777,NA,NA,1,NA,NA,0.747216330964762
"MEAN_DOWN_SHRTWAVE_RAD_1HR_18M",0.854187170792443,NA,NA,0.654220132705055,-0.650667236018614,NA,NA,NA,1,0.286406001185181,0.833638006195783
"MEAN_WIND_VELOCITY_1HR_18M",0.232323748303951,NA,NA,0.204859278262474,-0.273474515454543,NA,NA,NA,0.286406001185181,1,0.223755421922389
"SAP_FLOW",0.779642748452656,0.62879792314453,-0.548631127637513,0.69480069684201,-0.605955707017741,0.562648285290428,0.220351820022639,0.747216330964762,0.833638006195783,0.223755421922389,1
