DATE,23/10/17 00:00,23/10/17 00:30,23/10/17 01:00,23/10/17 01:30,23/10/17 02:00,23/10/17 02:30,23/10/17 03:00,23/10/17 03:30,23/10/17 04:00,23/10/17 04:30,23/10/17 05:00,23/10/17 05:30,23/10/17 06:00,23/10/17 06:30,23/10/17 07:00,23/10/17 07:30,23/10/17 08:00,23/10/17 08:30,23/10/17 09:00,23/10/17 09:30,23/10/17 10:00,23/10/17 10:30,23/10/17 11:00,23/10/17 11:30,23/10/17 12:00,23/10/17 12:30,23/10/17 13:00,23/10/17 13:30,23/10/17 14:00,23/10/17 14:30,23/10/17 15:00,23/10/17 15:30,23/10/17 16:00,23/10/17 16:30,23/10/17 17:00,23/10/17 17:30,23/10/17 18:00,23/10/17 18:30,23/10/17 19:00,23/10/17 19:30,23/10/17 20:00,23/10/17 20:30,23/10/17 21:00,23/10/17 21:30,23/10/17 22:00,23/10/17 22:30,23/10/17 23:00,23/10/17 23:30
PA_3h,97.7966331658291,97.796783919598,97.795527638191,97.7958585858586,97.7892929292929,97.7782412060301,97.7720100502513,97.7639698492462,97.7559798994975,97.7507537688442,97.7473366834171,97.7443718592965,97.7556060606061,97.760303030303,97.7665656565657,97.7747474747475,97.7842424242424,97.7936363636364,97.8031818181818,97.8132994923858,97.8266161616162,97.8315151515151,97.8339393939394,97.8340404040404,97.8320707070707,97.8281313131313,97.8112060301508,97.800351758794,97.7858291457286,97.7733165829146,97.7625628140703,97.7536683417085,97.7453768844221,97.7359798994975,97.7292462311558,97.7245728643216,97.7210050251256,97.7178894472362,97.7191457286432,97.7223115577889,97.7301005025126,97.7391959798995,97.7490452261306,97.7612060301508,97.7769849246231,97.7885427135678,97.7929145728643,97.7951256281407
PPFD_DIF_1h,0,0,0,0,0,0,0,0,2.90155778894472,13.6711557788945,35.0185929648241,61.2907537688442,102.218121827411,141.147091836735,183.948484848485,221.622099447514,267.223282828283,303.560606060606,351.138585858586,378.767715736041,396.048737373737,434.865909090909,444.19595959596,444.036414141414,443.937676767677,432.979141414141,413.557989949749,394.904221105528,373.525175879397,336.532864321608,297.540201005025,279.082713567839,247.396130653266,204.470703517588,176.956381909548,105.940653266332,66.6122613065327,39.0620100502513,17.7597989949749,5.24839195979899,0.0219095477386935,0,0,0,0,0,0,0
PPFD_IN_1h,0.018643216080402,0.0152261306532663,0.0178391959798995,0.0172727272727273,0.0205050505050505,0.0175376884422111,0.0285427135678392,0.451306532663317,4.63778894472362,18.5072864321608,46.9850251256281,89.5645728643216,166.22578680203,246.151071428571,337.385404040404,375.940773480663,515.876515151515,592.587070707071,718.533383838384,790.337614213198,831.296666666667,882.068686868687,896.347070707071,934.500858585859,959.66702020202,889.649292929293,834.398793969849,782.118190954774,718.642211055276,662.557386934673,578.49472361809,496.674221105528,415.839849246231,340.813316582915,249.787487437186,169.635979899497,105.273366834171,56.0093969849246,23.392864321608,6.7364824120603,0.807537688442211,0.0447236180904523,0.0196984924623116,0.021356783919598,0.0207537688442211,0.021608040201005,0.0184924623115578,0.017286432160804
RH_3h,80.8706532663317,81.6169346733668,82.5820100502513,83.0372222222222,83.6587373737374,84.0973366834171,84.8079899497487,85.7271859296482,86.2102512562814,86.6220100502513,87.0197487437186,87.2141708542714,87.5170707070707,87.3422727272727,86.8315151515151,86.0458585858586,84.9934848484849,83.9332828282828,82.4245454545455,80.7006091370558,78.3775252525252,76.0283838383838,73.4918181818182,70.9801515151515,68.9551515151515,67.0349494949495,65.3694472361809,63.777135678392,62.1457286432161,61.2324623115578,60.5971859296482,60.365527638191,60.5817085427136,60.5391457286432,60.8312060301508,61.5391457286432,62.058743718593,63.0908040201005,64.3177889447236,65.8156783919598,67.9723115577889,70.0544221105528,72.1383417085427,74.0366331658291,76.4066834170854,78.6097487437186,79.4277889447236,80.1509045226131
TA,11.7145226130653,11.4908040201005,11.3378391959799,11.2039898989899,11.0858585858586,10.9734170854271,10.8701005025126,10.889648241206,11.0425125628141,11.3057575757576,11.6712626262626,12.1972588832487,12.8408629441624,13.3077664974619,13.8967171717172,14.3857070707071,14.9229292929293,15.4374747474747,15.844898989899,16.2903045685279,16.6173232323232,16.955101010101,17.2904545454545,17.4736868686869,17.6144444444444,17.7139393939394,17.7156783919598,17.743216080402,17.746783919598,17.668743718593,17.5672361809045,17.3861306532663,17.058040201005,16.6989447236181,16.2768844221106,15.8149246231156,15.2989447236181,14.8207537688442,14.2858793969849,13.7861306532663,13.4804522613065,13.2275376884422,12.9798492462312,12.7092964824121,12.4095979899497,12.2320100502513,12.0490452261307,11.9112060301508
TS,13.012,12.979040201005,12.9451608040201,12.931202020202,12.8981767676768,12.8460452261307,12.8134673366834,12.7816582914573,12.7501708542714,12.7202914572864,12.6920452261307,12.6673216080402,12.6657727272727,12.652202020202,12.6478232323232,12.6528939393939,12.667,12.6858232323232,12.7244191919192,12.784461928934,12.816898989899,12.8661313131313,12.9172828282828,12.9685252525253,13.0200404040404,13.0693434343434,13.0958492462312,13.1401457286432,13.1817386934673,13.2208140703518,13.2542311557789,13.2831155778894,13.3051256281407,13.3209045226131,13.3285427135678,13.3295979899497,13.3256281407035,13.3156783919598,13.3004522613065,13.2798994974874,13.2551256281407,13.2291959798995,13.2015376884422,13.1731608040201,13.1431206030151,13.1118592964824,13.0787236180905,13.0457386934673
WD_1h30,164.40797979798,164.47797979798,161.874797979798,163.397208121827,161.940918367347,162.679387755102,162.341734693878,164.536358974359,164.12654822335,163.804517766497,163.982385786802,159.899796954315,162.778418367347,172.810357142857,178.664642857143,183.077193877551,186.377346938776,199.627397959184,195.796787564767,195.647564766839,192.925179487179,194.225076923077,195.999329896907,199.973826530612,200.623316326531,199.304285714286,199.090507614213,206.891065989848,207.775736040609,198.630050505051,199.559191919192,197.245101010101,195.884242424242,188.940101010101,187.340353535354,186.835202020202,181.053282828283,176.352727272727,172.354292929293,171.085050505051,167.278383838384,167.771212121212,163.922335025381,165.503787878788,164.424545454545,164.968434343434,162.23696969697,165.09494949495
WS,1.62969696969697,1.63060606060606,1.62868686868687,1.60382653061225,1.6180612244898,1.56263959390863,1.57807106598985,1.56131979695431,1.51010152284264,1.48959390862944,1.46228426395939,1.49162436548223,1.54571428571429,1.63271794871795,1.73251282051282,1.79538860103627,1.90231958762887,2.00661538461538,2.09584615384615,2.15290155440415,2.18908163265306,2.17581632653061,2.23010204081633,2.26454081632653,2.22826530612245,2.15678571428571,2.11873737373737,2.06172588832487,2.03393939393939,1.96116161616162,1.9040404040404,1.81540404040404,1.82989898989899,1.79454545454545,1.75328282828283,1.76338383838384,1.80070707070707,1.79686868686869,1.79419191919192,1.79939393939394,1.7820202020202,1.78808080808081,1.76166666666667,1.7379797979798,1.72570707070707,1.63767676767677,1.63287878787879,1.62328282828283
FC_3h,3.83085858585859,4.22883838383838,4.24151515151515,3.41893401015228,3.4484693877551,3.79142131979695,3.76746192893401,3.99646464646465,3.91355329949239,4.13816326530612,4.00294416243655,3.55741116751269,3.46979487179487,3.51989743589744,3.05397959183673,1.07147959183673,-1.34142857142857,-2.38376288659794,-3.82355670103093,-6.25233160621762,-7.35077720207254,-9.22056994818653,-10.3942268041237,-11.8232474226804,-12.5692307692308,-13.1280412371134,-13.0201015228426,-13.1429949238579,-12.9750510204082,-12.1756345177665,-11.5489340101523,-11.5706666666667,-10.7613705583756,-10.3306091370558,-8.99030456852792,-8.0290404040404,-6.92661616161616,-5.66111675126904,-3.94146464646465,-2.01444444444444,-0.887070707070707,0.534141414141414,1.26035353535354,1.8089898989899,2.32741116751269,3.04609137055838,3.4241116751269,3.69413265306122
LE_30m,0.0724043715846994,0.534098360655738,0.0703825136612022,0.0124444444444444,-0.140777777777778,-0.873093922651934,-0.504861878453039,-0.269226519337017,-0.00309392265193369,0.554640883977901,1.95577777777778,6.84486187845304,12.5304972375691,21.6434806629834,32.2536111111111,42.0301675977654,56.7728977272727,76.1637078651685,88.8340782122905,100.079888268156,110.621777777778,117.468241758242,126.014175824176,135.420604395604,127.253204419889,123.444835164835,122.09,110.672445652174,106.002087912088,94.2113661202186,80.6042076502732,70.2842934782609,52.8210326086957,36.9013043478261,25.4412432432432,13.6725945945946,6.46135869565217,1.68120218579235,1.18841530054645,1.10869565217391,0.690978260869565,0.311847826086956,0.737336956521739,0.140815217391304,0.421263736263736,0.197142857142857,-0.439180327868853,-0.371803278688525
SH_3h,-3.76035353535354,-4.10792929292929,-4.54161616161616,-2.73375634517767,-2.79984771573604,-2.15909090909091,-2.99252525252525,-3.3720202020202,-2.32409090909091,-2.16685279187817,-1.82395939086294,-1.55395939086294,-1.56545918367347,0.313673469387755,2.36219387755102,3.95602040816327,6.4854358974359,7.18184615384615,9.1725641025641,7.94067010309278,8.17246153846154,7.46269430051813,8.26103092783505,7.84466666666667,6.14902564102564,5.92556701030928,4.68152284263959,5.06065989847716,4.98913705583756,2.7561421319797,2.13928934010152,1.38878172588832,0.693131313131313,0.577715736040609,-0.0143939393939394,-1.19363636363636,-1.5629797979798,-2.76227272727273,-4.97106060606061,-5.44949494949495,-6.38747474747475,-6.95414141414141,-7.76373737373737,-7.18621212121212,-8.0420202020202,-7.52737373737374,-4.61808080808081,-3.80570707070707
USTAR_30m,0.292222222222222,0.298434343434343,0.297929292929293,0.293553299492386,0.290459183673469,0.295888324873096,0.289238578680203,0.290152284263959,0.294314720812183,0.293553299492386,0.299035532994924,0.305939086294416,0.325051020408163,0.350714285714286,0.373692307692308,0.405641025641026,0.420414507772021,0.450412371134021,0.474974358974359,0.492835051546392,0.502989690721649,0.513010204081633,0.510510204081633,0.525408163265306,0.527295918367347,0.508112244897959,0.502842639593909,0.48959595959596,0.475177664974619,0.4548730964467,0.433282828282828,0.413383838383838,0.385656565656566,0.362690355329949,0.337373737373737,0.311818181818182,0.307878787878788,0.296616161616162,0.29979797979798,0.30020202020202,0.304848484848485,0.306717171717172,0.315252525252525,0.310909090909091,0.314292929292929,0.310050505050505,0.298888888888889,0.288686868686869
VPD,0.238601149379647,0.218779726054886,0.209319323561344,0.201741673700344,0.194443421987264,0.19030762396578,0.184198339210121,0.187724398461244,0.198555634026029,0.217243864448131,0.242426421837978,0.274006294253325,0.316782224267872,0.354492758422103,0.412863896063722,0.47321556032156,0.541809183618046,0.610383480276781,0.664550845080903,0.724143584444379,0.77866680483147,0.828781977664451,0.880167364649452,0.910767378757236,0.93589682306982,0.951948908902157,0.946786804171069,0.946765399921313,0.948401039645524,0.931844478778698,0.919751638050971,0.888770953654062,0.84665482388156,0.802213948971244,0.73908926698972,0.669922188044374,0.599940271123005,0.539572135289856,0.462573531273595,0.396682859188081,0.371801450370279,0.348904052794537,0.328766584100265,0.30834312988496,0.284139838884138,0.275026831362952,0.262054252441334,0.252787428514364
